Time,ValueTrading,VolumeTrading,Symbol
2024-11-14,12.5,"3,300",PBP
2024-11-14,18.1,0,PCE
2024-11-14,7,500,PCG
2024-11-14,12,"97,727",PCH
2024-11-14,11.8,"8,580",PCT
2024-11-14,10.4,"5,300",PDB
2024-11-14,6.8,300,PEN
2024-11-14,11.3,"106,542",PGN
2024-11-14,31,900,PGS
2024-11-14,7.5,"14,746",PGT
2024-11-15,85,0,PHN
2024-11-15,26.8,0,PIA
2024-11-15,19.9,"1,100",PIC
2024-11-15,28.9,0,PJC
2024-11-15,21,"135,083",PLC
2024-11-15,9.5,1,PMB
2024-11-15,105,"1,232",PMC
2024-11-15,13.3,0,PMP
2024-11-15,31.2,"2,501",PMS
2024-11-15,15.8,"2,901",POT
2024-11-15,14.5,0,PPE
2024-11-15,18,0,PPP
2024-11-15,11.1,"1,800",PPS
2024-11-15,12.7,"91,200",PPT
2024-11-15,8.5,0,PPY
2024-11-15,19.4,100,PRC
2024-11-15,19,"15,207",PRE
2024-11-15,10.6,0,PSC
2024-11-15,12.9,"138,607",PSD
2024-11-15,9.7,"3,601",PSE
2024-11-15,6.8,"31,205",PSI
2024-11-15,8.2,"48,500",PSW
2024-11-15,9.1,101,PTD
2024-11-15,32,"1,937",PTI
2024-11-15,8,1,PTS
2024-08-29,16,"14,857",PTX
2024-11-15,2.3,"72,000",PV2
2024-11-15,26.4,"166,179",PVB
2024-11-15,10.3,"583,896",PVC
2024-11-15,6.7,"24,120",PVG
2024-11-06,48,"37,035",PVI
2024-11-06,38.1,"1,687,652",PVS
2024-11-06,34.2,0,QHD
2024-11-06,20.5,0,QST
2024-11-06,14.2,0,QTC
2024-11-06,12,"1,300",RCL
2024-11-06,58.5,0,S55
2024-11-06,7.9,"39,979",S99
2024-11-06,58.5,0,SAF
2024-11-06,64.9,"42,300",SCG
2024-11-06,8.2,"20,710",SCI
2024-11-06,7.8,"5,000",SD5
2024-11-06,11.9,"10,500",SD9
2024-11-06,5.2,"12,650",SDA
2024-11-06,7.5,100,SDC
2024-11-06,14.1,600,SDG
2024-11-06,32.2,100,SDN
2024-11-06,17.8,0,SDU
2024-11-06,48.5,50,SEB
2024-11-06,21.5,"3,600",SED
2024-11-06,20,0,SFN
2024-11-06,104.5,500,SGC
2024-11-06,12,100,SGD
2024-11-06,31.5,"246,100",SGH
2024-11-06,9.3,"4,000",SHE
2024-11-06,6.5,0,SHN
2024-11-06,14.2,"5,040,337",SHS
2024-11-06,9.8,"1,600",SJ1
2024-11-06,21.2,"40,040",SJE
2024-11-06,179.1,"2,224",SLS
2024-11-06,13.3,"6,600",SMN
2024-11-06,6,"2,500",SMT
2024-11-06,8.1,0,SPC
2024-11-06,2.7,0,SPI
2024-11-06,2.6,0,SRA
2024-11-06,5.6,0,SSM
2024-11-06,17,0,STC
2024-11-06,9.6,0,STP
2024-11-06,3.1,"2,352",SVN
2024-11-06,42,"8,900",SZB
2024-11-06,11.9,"33,013",TA9
2024-11-06,22.3,0,TBX
2024-11-06,6.8,"30,220",TDT
2024-11-06,31.4,10,TET
2024-11-06,34.8,"66,709",TFC
2024-11-06,12,0,THB
2024-11-06,35.3,218,THD
2024-11-06,10.6,0,THS
2024-11-06,11.9,"2,510",THT
2024-11-06,13.4,"1,059,604",TIG
2024-11-06,15.8,0,TJC
2024-11-06,2.4,0,TKG
2024-11-06,17.5,0,TKU
2024-11-06,64.7,"2,623",TMB
2024-11-06,7.7,"5,400",TMC
2024-11-06,9.3,100,TMX
2024-11-06,25.6,"3,576,250",TNG
2024-11-06,17.9,0,TOT
2024-11-06,17.1,100,TPH
2024-11-06,10.5,108,TPP
2024-11-06,43.2,200,TSB
2024-11-06,10.2,100,TTC
2024-11-06,2.8,"107,700",TTH
2024-11-06,8,0,TTL
2024-11-06,32,600,TTT
2024-11-06,12,"4,501",TV3
2024-11-06,14.2,"2,100",TV4
2024-11-06,10.8,"201,664",TVC
2024-11-06,10.5,"10,108",TVD
2024-11-06,4.4,"15,740",TXM
2024-11-06,6.9,"15,704",UNI
2024-11-06,13,0,V12
2024-11-06,6.2,"30,871",V21
2024-11-06,20.2,0,VBC
2024-11-06,9.9,0,VC1
2024-11-06,9.7,"563,762",VC2
2024-11-06,28.4,"609,453",VC3
2024-11-06,21,245,VC6
2024-11-06,8.7,"91,411",VC7
2024-11-06,4.8,142,VC9
2024-11-06,9.6,"2,300",VCC
2024-11-06,16,72,VCM
2024-11-06,62.9,"93,415",VCS
2024-11-06,12,0,VDL
2024-11-06,3.6,"23,501",VE1
2024-11-06,8,0,VE3
2024-11-06,259.4,0,VE4
2024-11-06,4.5,100,VE8
2024-11-06,15,"779,496",VFS
2024-11-06,28.6,"2,293",VGP
2024-11-06,34.5,"640,620",VGS
2024-11-06,3.2,"210,393",VHE
2024-11-06,9.6,"8,700",VHL
2024-11-06,16.1,400,VIF
2024-11-06,6.1,"46,301",VIG
2024-11-06,20,0,VIT
2024-11-06,14.3,100,VLA
2024-11-06,5.6,200,VMC
2024-11-06,20.9,"8,100",VMS
2024-11-06,40.1,24,VNC
2024-11-06,13.7,"29,936",VNF
2024-11-06,23.1,"8,500",VNR
2024-11-06,31.4,0,VNT
2024-11-06,23.3,"2,310",VSA
2024-11-06,19,2,VSM
2024-11-06,8.2,"2,610",VTC
2024-11-06,7.9,0,VTH
2024-11-06,4.8,0,VTJ
2024-11-06,4.9,"114,201",VTV
2024-11-06,16.5,"827,629",VTZ
2024-11-06,260,102,WCS
2024-11-06,4.9,"7,302",WSS
2024-11-06,10,0,X20
2024-11-14,25,"16,520",ABI
2024-11-14,8.5,"105,300",ABW
