Mã CK,GPC,GPC.1,GPC.2,GPC.3,GPC.4,HAF,HAF.1,HAF.2,HAF.3,HAF.4,HHG,HHG.1,HHG.2,HHG.3,HHG.4,HIG,HIG.1,HIG.2,HJC,HJC.1,HJC.2,HJC.3,HJC.4,HNB,HNF,HNF.1,HNF.2,HNF.3,HNF.4,HNI,HNI.1,HNI.2,HNI.3,HNI.4,HOT,HOT.1,HOT.2,HOT.3,HOT.4,HPD,HPI,HPI.1,HPI.2,HPI.3,HPI.4,HPW,HPW.1,HPW.2,HPW.3,HPW.4,HSM,HSM.1,HSM.2,HSM.3,HSM.4,HSV,HSV.1,HSV.2,HSV.3,HSV.4,HTM,HTM.1,HTM.2,HTM.3,HTM.4,HTT,HTT.1,HTT.2,HTT.3,HTT.4,HU4,HU4.1,HU4.2,HU4.3,HU4.4,HUG,HUG.1,HUG.2,HUG.3,HUG.4,IDP,IDP.1,IDP.2,IDP.3,IDP.4,ING,ING.1,ING.2,ING.3,ING.4
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,2344246667,3217891584,3067399339,5557229160,8624628499,7885775876,8442230485,7495522866,16328006361,23823529227,-5185520169,-6011325088,-4979986707,-11214755136,-16194741843,19848942700,18827949901,38676892601,6388841103,19317608896,45659943836,25706449999,71366393835,10234877339,130542953112,114688356313,195781447595,245276833652,441058281247,20361964151,46105895584,51505767987,66467859735,117973627722,10408779913,8201794457,10845032094,18735566982,29580599076,3832021169,3706422738,24311597426,12021421395,24095909773,36117331168,96353053435,137454421969,139964773634,233793885419,373758659053,-12597325535,11339450016,22183140064,-2005570175,20177569889,5299310293,4775489913,4851962283,10079988658,14931950941,28986643772,24208452829,25791201530,53162600157,78953801687,638781535,-114731402,379845829,524050133,903895962,7653856401,21373355555,38794220494,29027211956,67821432450,46323834982,35747627101,52530569897,77040813073,131222085010,616253027308,790094528276,834998355910,1406347555585,2241345911495,,,,,
6. Doanh thu hoạt động tài chính21,1822243916,1757855458,1754866493,3580099374,5334965867,757131318,877960195,863907250,1635091513,2498998763,20467597,20537365,14875575,41004962,55880537,10986059186,7557110617,18543169803,717068473,464275790,382678225,1181344263,1564022488,1400592754,4141188506,5869315962,2375814188,9446849077,11822663265,5552617198,7234371295,1915627436,12786988493,14702615929,16751885,56720747,12491505,73472632,85964137,1539029003,10526594188,6036690837,10052118588,17466479576,27518598164,1283761580,8679300677,5783108104,9963062257,15746170361,2154439634,5279002009,18423016295,23530300308,41953316603,618802598,681710192,598112771,1804973535,2403086306,15994581543,13818702246,21743335842,29813283789,51556619631,22377,51658,52166,74868,127034,3257642,2638023,3918853,5895665,9814518,1481205940,8887224032,3965325540,10368429972,12677053472,36988115406,41400540506,47704082072,78388655912,126092737984,5441343623,5562303217,5563087025,11003646840,16566733865
7. Chi phí tài chính 22,636680691,-4143816003,666064573,-3460822216,-2794757643,1973081213,2184105212,2208106369,4157186425,6365292794,674963330,377666511,599322728,1052629841,1651952569,8565287551,6467386309,15032673860,298970057,1244125172,1321285511,1543095229,2864380740,,15650598737,8513902562,11590504320,23920642799,35511147119,856292155,2301628262,7872159338,3157920417,11030079755,74538902,-31028020,5519832,43510882,49030714,1529417809,,,,158846721,158846721,14587878538,50986734447,14435729029,65574612985,80010342014,12826507493,30848522956,16039522797,43675030449,59714553246,2654199144,2757287312,2141853834,5704797874,7846651708,20189474060,20050457974,24281137811,40206705904,64487843715,1104712296,730363616,560260690,2120521380,2680782070,3589969652,7990458954,7322348922,11580428606,18902777528,,82318880,2298448368,82318880,2380767248,13820854212,16626798870,19869633659,30447653082,50317286741,5972189960,6105535773,6435032193,12077725733,18512757926
Trong đó :Chi phí lãi vay23,636680691,613925001,666063409,1296987807,1953957623,1973081213,2184105212,2208106369,4157186425,6365292794,674963330,377666511,599322728,1052629841,1651952569,1750569269,1904435594,3655004863,293226594,1244125172,1277698476,1537351766,2815050242,,14810255874,7337123170,9479594347,22147379044,31626973391,,142770849,15139332,142770849,157910181,69554652,-33055579,,36499073,36499073,1529417809,,,,,,14587878538,14462144612,14435729029,29050023150,43485752179,12546350383,11106259285,7677355537,23652609668,31329965205,2654199144,2757287312,2141853834,5182344673,7846651708,19662988481,19684975336,22588727637,39314737687,61903465324,1104712296,730363616,560260690,2120521380,2680782070,3589969652,7990458954,7322348922,11580428606,18902777528,,,,,,7168208748,8718526302,12484342676,15886735050,28371077726,552217357,565119335,894615755,1117336692,2011952447
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,-61264705,,-61264701,-61264701,,-206855468,,-212145603,-212145603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30370957,58259766,,88630723,88630723,,,,,,3985906522,3171876618,-4085936366,6928661414,2842725048,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng25,571803974,622606256,327392815,1194410230,1521803045,1408437185,2482794535,1336855022,3891231720,5228086742,,,,,,11145034552,8814702751,19959737303,1025159026,3704669698,8536472325,4729828724,13266301049,,82155957168,58015399636,120557362645,139920435375,260477798020,3066343754,5660987231,10750418827,8727330985,19477749812,2982189146,3096584844,3620166862,6174175590,9794342452,,993951505,433592125,858058114,1427543630,2285601744,37326390658,36855545723,49553458385,74225998972,123779457357,7271363478,7851762144,8299088858,14375430966,22674519824,210688233,479163514,317801981,593730333,911532314,10159864007,8331840238,8749983173,18523593165,27273576338,,,,,,1654556537,6056002204,6604683256,7710558741,14315241997,17714537007,16944697242,18676872970,33966226930,52097099900,307266372409,392418550129,425031698570,699684922538,1124716621108,,,,,
10. Chi phí quản lý doanh nghiệp26,1585124639,3046692878,2600094976,4631817517,7231912493,8813025838,9159491402,8570354625,17972517240,26542871865,2826328850,2862898968,2430176304,5687302818,8117479122,2742574198,17046110343,19788684541,6758004768,7215268594,29355827345,13973273362,43329100707,4326909162,11419551656,11468410523,13127241705,22887962179,36015203884,10732710534,23944024252,16330960882,34676734786,51007695668,3967028659,3784424804,3801335922,7900664013,11701999935,962483139,5786471645,5873628004,5458340418,11660099649,17118440067,23174163161,30875454740,31933385825,53991965325,85925351150,16422059526,31057424353,11742782128,47479483879,59222266007,1895933273,1692777359,1378091786,3906990642,5285082428,18493220883,21887808092,22460797798,38431897024,60892694822,1411893488,1002476861,1608889847,2370005080,3978894927,2266583267,5606606830,13669047536,7873190097,21542237633,16673709943,13134075622,13476114807,25608668839,39084783646,47108769670,53190216410,62611152198,100298986080,162910138278,850316229,1039653528,961318159,1889969757,2851287916
11. Lợi nhuận thuần từ hoạt động kinh doanh30,1372881279,5388999206,1228713468,6710658302,7939371770,-3551637042,-4713055937,-3755885900,-8269983114,-12025869014,-8666344752,-9231353202,-7994610164,-17913682833,-25908292997,8382105585,-5943138885,2438966700,-976224275,7617821222,6829036880,6641596947,13470633827,7308560931,25458034057,42559959554,52882153113,67994642376,120876795489,11259234906,21433627134,18467856376,32692862040,51160718416,3401775091,1408533576,3430500983,4690689129,8121190112,2879149224,7452593776,24041068134,15757141451,28315899349,44073040800,22548382658,27415987736,49825308499,49964370394,99789678893,-46932445441,-53080997662,4524762576,-83916584438,-79391821862,1157292241,527971920,1612327453,1679443344,3291770797,124572887,-9071074611,-12043317776,-7257650733,-19300968509,-1877801872,-1847520221,-1789252542,-3966401459,-5755654001,146004587,1722925590,11202059633,1868930177,13070989810,13416793972,14473759389,22044459292,27752028396,50336487688,285045146423,369259503373,375189953555,654304649797,1029494603352,-1381162566,-1582886084,-1833263327,-2964048650,-4797311977
12. Thu nhập khác31,469937581,609878385,,1079815966,1079815966,111945157,390533272,275950095,502478429,778428524,7639,321373481,4557,222831615,211198871,935051013,920606171,1855657184,,,3205504,,3205504,238753838,557171341,1301250246,580553650,1858421587,2438975237,111523314,118421267,1813056735,229944581,2043001316,11364879,30536084,3517107,41900963,45418070,370464034,141294490,15829331,624093600,1340938411,1965032011,2770997721,3973177470,3590523818,6744175191,10334699009,2962272341,1171192241,3264719764,4148464582,7413184346,,127508004,,127508004,127508004,1385279592,1542670222,1325322979,2919089814,4244412793,,,,,,62325855,,474,62325855,62326329,133962306,125643767,81870980,259606073,341477053,691776488,1558382182,3512108828,2250158670,5762267498,30,5422650,16419750,5422680,21842430
13. Chi phí khác32,278524857,170445048,151309727,448969905,600279632,8916296,212084770,129145200,221001066,350146266,159218478,1385816,12230213,62054789,62647701,182876,34437444,34620320,,6003193,32000127,6003193,38003320,288309144,449435447,377337989,106653587,826773436,933427023,,303313799,,303313799,303313799,16302184,77496751,36128844,93798935,129927779,247018,114309885,90895673,43517669,205205558,248723227,2655496962,3729725815,4442645945,6385222777,10827868722,75791028,574617564,1587094317,650408592,2237502909,590378,,434252727,4380559,438633286,332293467,570365399,2240673563,893798918,3134472481,201915758,153652958,213278528,322535716,535814244,85000000,2500000,1687873104,87500000,1775373104,,1011,39019790,1011,39020801,65504647,2348084338,1484444158,2413588985,3898033143,194860253,20000500,,214860753,214860753
14. Lợi nhuận khác40,191412724,439433337,-151309727,630846061,479536334,103028861,178448502,146804895,281477363,428282258,-159210839,319987665,-12225656,160776826,148551170,934868137,886168727,1821036864,,-6003193,-28794623,-6003193,-34797816,-49555306,107735894,923912257,473900063,1031648151,1505548214,111523314,-184892532,1813056735,-73369218,1739687517,-4937305,-46960667,-32611737,-51897972,-84509709,370217016,26984605,-75066342,580575931,1135732853,1716308784,115500759,243451655,-852122127,358952414,-493169713,2886481313,596574677,1677625447,3498055990,5175681437,-590378,127508004,-434252727,123127445,-311125282,1052986125,972304823,-915350584,2025290896,1109940312,-201915758,-153652958,-213278528,-322535716,-535814244,-22674145,-2500000,-1687872630,-25174145,-1713046775,133962306,125642756,42851190,259605062,302456252,626271841,-789702156,2027664670,-163430315,1864234355,-194860223,-14577850,16419750,-209438073,-193018323
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,1564294003,5828432543,1077403741,7341504363,8418908104,-3448608181,-4534607435,-3609081005,-7988505751,-11597586756,-8825555591,-8911365537,-8006835820,-17752906007,-25759741827,9316973722,-5056970158,4260003564,-976224275,7611818029,6800242257,6635593754,13435836011,7259005625,25565769951,43483871811,53356053176,69026290527,122382343703,11370758220,21248734602,20280913111,32619492822,52900405933,3396837786,1361572909,3397889246,4638791157,8036680403,3249366240,7479578381,23966001792,16337717382,29451632202,45789349584,22663883417,27659439391,48973186372,50323322808,99296509180,-44045964128,-52484422985,6202388023,-80418528448,-74216140425,1156701863,655479924,1178074726,1802570789,2980645515,1177559012,-8098769788,-12958668360,-5232359837,-18191028197,-2079717630,-2001173179,-2002531070,-4288937175,-6291468245,123330442,1720425590,9514187003,1843756032,11357943035,13550756278,14599402145,22087310482,28011633458,50638943940,285671418264,368469801217,377217618225,654141219482,1031358837707,-1576022789,-1597463934,-1816843577,-3173486723,-4990330300
16. Chi phí thuế TNDN hiện hành51,357780174,1178483370,215480748,1526924398,1742405146,52000000,42700000,64700000,94700000,159400000,,,,,,531155573,-963216099,-432060526,,1410755892,1391514423,1410755892,2802270315,2674201125,5351151028,2827479473,8054141095,8173960254,16228101349,2274151644,4549746920,4056182623,6823898564,10880081187,,,,,,365041823,,,,,,4532776684,5531887878,9794637275,10064664562,19859301837,420635344,1326516070,699294591,1747151414,2446446005,264195373,163950985,268469945,427100270,695570215,74057709,59723191,74670013,133780900,208450913,,,,,,24666088,294898987,2238113830,319565075,2557678905,2684613698,1594803697,3943797078,4251712402,8195509480,62298100566,85786770489,77652636396,148084871055,225737507451,,,,,
17. Chi phí thuế TNDN hoãn lại52,,302046410,,53564766,53564766,,,,,,,,6756819,264098881,270855700,,,,,,,,,,,,,,,,,,,,-56206446,-35030395,-1267680,-97214113,-98481793,,,,,,,,,,,,,,,1230620161,1230620161,,,,,,,,,,,,,,,,,,,,,,,,,,,-5222334297,,-5222334296,-5222334297,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,1206513829,4347902763,861922993,5761015199,6622938192,-3500608181,-4577307435,-3673781005,-8083205751,-11756986756,-8825555591,-8911365537,-8013592639,-18017004888,-26030597527,8785818149,-4093754059,4692064090,-976224275,6201062137,5408727834,5224837862,10633565696,4584804500,20214618923,40656392338,45301912081,60852330273,106154242354,9096606576,16698987682,16224730488,25795594258,42020324746,3453044232,1396603304,3399156926,4736005270,8135162196,2884324417,7479578381,23966001792,16337717382,29451632202,45789349584,18131106733,22127551513,39178549097,40258658246,79437207343,-44466599472,-53810939055,5503093432,-83396300023,-77893206591,892506490,491528939,909604781,1375470519,2285075300,1103501303,-8158492979,-13033338373,-5366140737,-18399479110,-2079717630,-2001173179,-2002531070,-4288937175,-6291468245,98664354,1425526603,7276073173,1524190957,8800264130,10866142580,13004598448,18143513404,23759921056,42443434460,223373317698,287905365025,299564981829,511278682723,810843664553,-1576022789,-1597463934,-1816843577,-3173486723,-4990330300
Lợi ích của cổ đông thiểu số,,140800201,115881745,265488981,381370726,-1430946615,-1393840656,-1295131247,-2320851825,-4115043247,,,,,,665385683,500565498,1165951181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4629923805,6751149965,-5843606488,-6976047791,-843302606,-7771972101,-8615274707,,,,,,326802019,-121165550,-435589601,66437492,-369743550,,,,,,,,,,,,,,,,,,,34676,,,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,1206513829,4207102562,746041248,5495526218,6241567466,-2069661566,-3183466779,-2378649758,-5762353926,-7641943509,-8825555591,-8911365537,-8013592639,-18017004888,-26030597527,8120432466,-4594319557,3526112909,-976224275,6201062137,5408727834,5224837862,10633565696,4584804500,20214618923,40656392338,45301912081,60852330273,106154242354,9096606576,16698987682,16224730488,25795594258,42020324746,3453044232,1396603304,3399156926,4736005270,8135162196,2884324417,7479578381,23966001792,16337717382,29451632202,45789349584,18131106733,22127551513,39178549097,35628734441,72686057378,-38622992984,-46834891264,6346396038,-75624327922,-69277931884,892506490,491528939,909604781,1375470519,2285075300,776699284,-8037327429,-12597748772,-5432578229,-18029735560,-2079717630,-2001173179,-2002531070,-4288937175,-6291468245,98664354,1425526603,7276073173,1524190957,8800264130,10866142580,13004598448,18143513404,23759921056,42443434460,223373317698,287905365025,299564981829,511278648047,810843664553,-1576022789,-1597463934,-1816843577,-3173486723,-4990330300
19. Lãi cơ bản trên cổ phiếu,,127,150,132,150,,,,-397,,,,,-516,,360,-204,156,-76,482,421,407,827,483,,,,2028,,383,702,682,976,1767,,,,592,,347,125,399,272,491,763,,,,480,980,-1884,-2285,310,-3689,-3379,,,,87,,,,,-25,,,,,-214,,7,95,485,102,587,,,,1218,,,,,8297,,-76,-77,-87,-153,-240
20. Lãi suy giảm trên cổ phiếu71,,127,150,132,150,,,,,,,,,-516,,,,,,,,,,,,,,,,,,,,,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,-25,,,,,-214,,,,,,,,,,,,,,,8297,,,,,-153,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,1564294003,,,7341504363,8418908104,-3448608181,,,-7988505751,-11597586756,-8825555591,,,-17752906007,-25759741827,9316973722,,4260003564,-976224275,,,6635593754,13435836011,7259005625,25565769951,,,69026290527,122382343703,11370758220,,,32619492822,52900405933,3396837786,,,4638791157,8036680403,3249366240,,,,29451632202,,22663883417,,,50323322808,99296509180,-44045964128,,,-80418528448,-74216140425,1156701863,,,1802570789,1178074726,1177559012,,,-5232359837,-18191028197,-2079717630,,,-4288937175,-6291468245,123330442,,,1843756032,11357943035,13550756278,,,28011633458,50638943940,285671418264,,,654141219482,1031358837707,,,,,
2. Điều chỉnh cho các khoản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,299402166,,,598804332,898206498,1155914334,,,2290008938,3423426475,5103876299,,,10035151205,14879931284,178595166,,381562745,2132556890,,,4235439015,6222315282,4369392690,16957144478,,,33840596678,50665918291,10100564503,,,11530647851,17468919043,936684363,,,1780577912,2670552802,6824455506,,,,3319030003,,54567905579,,,108134588657,161393984185,18406241216,,,37224791707,54201543662,774663891,,,1515107898,2058858803,6169868540,,,12253903398,18198248185,597730160,,,1063470201,1581620607,53829319,,,107658638,150268363,5605870515,,,11128513208,16526449866,46588198697,,,94199249142,143332528384,,,,,
Các khoản dự phòng03,,,,-4753242873,-4753242873,,,,288334080,288334080,,,,,,6335893128,,24238754648,,,,-166522750,-246522750,,,,,,,,,,,,,,,102755550,102755550,,,,,158846721,,26514402380,,,54840535591,91257689622,-47585217,,,19365344482,20365344482,389533221,,,1401150833,878786183,,,,2056704477,3941451065,,,,-27917958,-27917958,,,,254477000,,,,,-104755471,-104755471,302033089,,,801245553,386001125,,,,,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,,,,,,,,,,,,,-143863,-143863,,,64999538,,,,-51976249,-8389214,,60409568,,,-669245558,-6890076,-4692784336,,,-124925328,12113253444,3030237,,,-13936672,13936672,,,,,-4871969,,,,,36524589835,36524589835,446476907,,,13584449500,-8586385118,,,,-164170185,,-976135368,,,-43726394,576410404,,,,,,,,,,,,,,,,4209302562,,,4849295125,700407366,,,,,
"Lãi, lỗ từ hoạt động đầu tư05",-1820397869,,,-3509467566,-5264333965,-754966310,,,-1631792291,-2344281211,66014908,,,-133980977,-137249251,-5695289220,,-12053308803,-717068473,,,-1123624551,-1506302776,-1423740902,-4173220180,,,-6432235131,-8669075380,-859832862,,,-1249594916,-2786618948,-11902894,,,-87014959,-109934035,-1539029003,,,,-16758802905,,-1283761580,,,-10106226535,-15889334639,-1461538800,,,-21134772341,-5259035007,-618802598,,,-1537477711,-2403086306,-17501403331,,,-12368069495,-24522115465,-22377,,,-74868,-127034,-3257642,,,-5895665,-9814518,-1481205940,,,-3523221534,-3946624856,-33661928624,,,-68759962063,-103909724987,,,,,
Chi phí lãi vay06,636680691,,,1287894214,1953957623,1973081213,,,4157186425,6365292794,687030330,,,1052629841,1720681426,1750569269,,3655004863,293226594,,,1537351766,2815050242,,14810255874,,,22147379044,31626973391,,,,142770849,157910181,69554652,,,36499073,36499073,1529417809,,,,,,14587878538,,,29050023150,43485752179,12546350383,,,23652609668,31329965205,2654199144,,,5182344673,7846651708,19731836421,,,39314737687,62118225222,1104712296,,,2120521380,2680782070,3589969652,,,11580428606,18902777528,,,,,,7168208748,,,15886735050,28371077726,,,,,
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,679978991,,,965492470,1253495387,-1074578944,,,-2884768599,-3864814618,-2968634054,,,-6799249801,-9296522231,11886742065,,20547016555,732490736,,,11066260985,20711986795,10204657413,53220359691,,,117912785560,195999269929,15918705525,,,42918391278,79853869653,4394204144,,,6457672061,10750490465,10064210552,,,,16165834052,,117050308334,,,268766833506,416069190362,-14156019639,,,-7726105432,17835292799,4356295521,,,8199526297,9559285114,8601725274,,,35981189836,42121191214,-377297551,,,-1132938420,-2057110560,3763871771,,,13780424611,30401174408,17675420853,,,35512169661,63114013479,310277232736,,,701117782289,1100239127321,,,,,
"Tăng, giảm các khoản phải thu09",-8617176399,,,-113633813154,-133067139195,-5236412337,,,-7927050594,-6103450227,-311532363,,,3204336223,3910866306,28608597093,,5722347394,-4752067725,,,-3655186685,27776585534,-1239840695,16937577532,,,19753048793,-165441141143,33470879266,,,57680361922,34622005646,-2309891938,,,978132907,1011027998,2662241979,,,,-19076738009,,7880075423,,,6836519547,2392512033,-27091855376,,,15825143050,17518905428,-553749277,,,-18924133165,-34849961871,2603860472,,,-77065557847,-50444826490,1157622323,,,1994093397,2957178994,-1609598816,,,-4146058359,-72138634369,-7127796143,,,-532632274,-10471233821,115874693767,,,37694132556,-35666081542,,,,,
"Tăng, giảm hàng tồn kho10",-3656158184,,,-5781784611,2058598,9786516,,,-435228736,181164330,-629851591,,,36128023,391920149,-886708950,,-50681653957,-10465447374,,,-160968437355,-162818151514,,38393983569,,,19260292328,25050114269,-74506908600,,,-80876295696,8048764956,-69678629,,,-1103595576,-642178982,-25273260,,,,-27117972,,-3794623281,,,-7526613549,-18708523996,64803063110,,,66512910323,77020872970,-10230144748,,,-659615168,-5813836897,-5356417208,,,6831286884,-9434253884,,,,,,-5491557395,,,12853343913,62618386402,31342645291,,,9592479463,29998758773,34908533570,,,40025211496,-66114244284,,,,,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-49463411,,,108099842100,117653978592,13474641770,,,19194658964,23071055625,-8457339426,,,-3839973168,-2883383520,-36217533326,,109706413123,-41657346491,,,-7942589750,9756117889,-286800804,-89417459664,,,-115799968820,-19946109531,-25609033198,,,59750692160,80118841686,5972177750,,,3042683739,6226183206,-2879823127,,,,-93693152401,,2854467934,,,7859428527,49806778063,-48304597230,,,33490719685,109058477552,-6655493106,,,-6954910367,14048501146,3529872195,,,-13341550577,4885574616,-522290837,,,-720746447,-984004559,-971320577,,,4677898465,3625801235,-47634478395,,,-15649808153,-25563693204,-110444799967,,,-195381549779,-2030300016,,,,,
"Tăng, giảm chi phí trả trước12",203702413,,,219668617,313661490,1493885200,,,2978630292,4328190603,36501743,,,-40679952,62510687,951715559,,-2487794257,342341523,,,1250566849,991516348,142134677,5577803783,,,10616948878,11845727218,1655745109,,,1438126599,569753776,190286709,,,-144744043,-236019020,808754095,,,,-339472727,,100681822,,,799968294,-549454788,2466983805,,,6436032731,9559559686,-229156731,,,-125316250,66078234,5620380490,,,15050513558,-10832889808,5997082,,,10226664,14456248,62416311,,,-151393418,-160563144,322001628,,,-2108051231,-298168886,4283338967,,,4255011148,-257591144906,,,,,
"Tăng, giảm chứng khoán kinh doanh13",,,,,,,,,,,,,,,,-5766310301,,-14851109534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8126364650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiền lãi vay đã trả13,-636680691,,,-1284246010,-1987597941,,,,,,-191886760,,,-4771305640,-4895504368,-1750569269,,-2164168178,-293226594,,,-1470346472,,,-13464244483,,,-22302897340,-32582248607,,,,-142770849,-157910181,-69554652,,,-36499073,-36499073,-1529417809,,,,,,,,,-29151059392,-29151059392,-12678829624,,,-23462287879,-31539666478,-2839128482,,,-5197864720,-6775407255,-6775755176,,,-47624217144,-63625989895,,,,,,-3589969652,,,-11580428606,-18902777528,,,,,,-6959558246,,,-15606358210,-27489111502,,,,,
Thuế thu nhập doanh nghiệp đã nộp14,-405713048,,,-405713048,-545713048,-236198892,,,-276198892,-316198892,,,,,,,,,-1544751917,,,-1544751917,-1547411417,-1271525536,-4615279395,,,-4705393040,-6055393040,-1878430706,,,-12678430706,-17078430706,,,,,,-1277087721,,,,,,-7195013644,,,-14728174654,-24766799114,-6594842452,,,-6896987477,-6897336122,-500000000,,,-500000000,-1119863251,-264884482,,,-264884482,-264884482,,,,,,-24666088,,,-34533785,-34533785,-4245027397,,,-5525027397,-5525027397,-164490555588,,,-228114363282,-302892028985,,,,,
Tiền thu khác từ hoạt động kinh doanh15,,,,,,,,,,,,,,,,,,,,,,1080000,6985504,,,,,,,111523314,,,,2043001316,,,,3600000,1861021611,,,,,,,,,,,,3133197479,,,,,,,,,,,,,,5400000,,,,,,8707365315,,,,,3600000,,,4680000,4680000,,,,,,,,,,
Tiền chi khác từ hoạt động kinh doanh16,-600567000,,,-629167000,-637667000,,,,,,,,,,,,,,-759969838,,,-293821296,-575221296,-1292836000,,,,-35179812,-35179812,-691210000,,,-1623087182,-942225879,-13300373,,,-40857188,-64157188,-448296000,,,,,,-2820553520,,,-12046094890,-17460209095,3407979441,,,-2999773970,-3779784408,,,,,,-12950000,,,-90866000,-98326000,,,,,,,,,,-15180654639,-8146700275,,,-14622286275,-15746843691,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,-13082077329,,,-12449720636,-17014923117,8431123313,,,10650042435,17295946821,-12522742451,,,-12210744315,-12710112977,-3174067129,,65791051146,-58397977680,,,-163557225641,-105697592157,6255789055,6632741033,,,24699636547,8835039283,-51528729290,,,66466987526,187077670267,8094243011,,,9156392827,18869869017,7375308709,,,,-96970647057,,114075343068,,,220810807389,377632434073,-35014920486,,,81179651031,188776321427,-16651376823,,,-32288678023,-24885204780,7945831565,,,-80524085772,-87689004729,264031017,,,150635194,-69479877,846540869,,,15399252821,-9771801420,-17810334438,,,6671523794,35512485253,183448885239,,,343989866218,408456216086,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-353562592,,,-14704773048,-17646336195,,,,-18951979647,-24496086230,,,,-247575630,-247575630,,,-600000000,,,,,-372683500,-3073512195,-2909209136,,,-2992381027,-6154778863,-412466250,,,-5910018866,-12945125755,-184747097,,,-487507830,-3471115733,-570637500,,,,-587169663,,-10859086189,,,-16630380941,-42765784824,-938000000,,,-2636917128,-3437419276,,,,,,-425159809,,,-13929673106,-14397846212,,,,,,,,,,,3412929007,,,-9732733225,-8946820837,-400841316273,,,-467688728203,-639957315165,,,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,,,,,,,,60727273,462962962,,,1469486521,1794558607,,,,,,,,,23148148,222727273,,,222727273,222727273,,,,,,10879630,,,39464647,45418067,,,,,,,,,,275428485,275428485,768896850,,,970332848,1402254479,,,,,590909091,136454545,,,32041818,752202018,,,,,,,,,,,,,,100100000,151028000,43172846327,,,1665882292,45344053369,,,,,
