Mã CK,XHC,XHC.1,XHC.2,XHC.3,XHC.4,XMC,XMC.1,XMC.2,XMC.3,XMC.4,XMP,XMP.1,XMP.2,XMP.3,XMP.4
Kỳ/năm,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,RSM,,,,,NVT,,,,,AASC,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,,,,Chấp nhận toàn phần,,,,,Chấp nhận toàn phần,
Ngày công bố báo cáo,23-04-2024,23-07-2024,22-10-2024,16-08-2024,22-10-2024,03-05-2024,01-08-2024,30-10-2024,05-09-2024,30-10-2024,22-04-2024,23-07-2024,22-10-2024,07-08-2024,22-10-2024
Ngày ký kiểm toán,,,,15-08-2024,,,,,28-08-2024,,,,,05-08-2024,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,
12. Quỹ khen thưởng phúc lợi322,311804041,2308804041,2221804041,2308804041,2221804041,15518147776,15019724276,16602954947,17035793354,16602954947,180660000,111040000,34255000,111040000,34255000
13. Quỹ bình ổn giá323,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,,,,,,,,,,,,,
II. Nợ dài hạn 330,47250759415,45950759415,27210257695,30700257695,27210257695,86507221187,375029382467,370659558835,370604498835,370659558835,158700119477,152616873779,146533628081,152616873779,146533628081
1. Phải trả người bán dài hạn331,,,,,,12976621022,12976621022,12976621022,12976621022,12976621022,,,,,
2. Người mua trả tiền trước dài hạn332,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn333,,,,,,46891764613,46223188387,46223188387,46223188387,46223188387,,,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn335,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn336,,,,,,,,,,,,,,,
7. Phải trả dài hạn khác337,,,,,,10088372811,10177172811,10677132811,10273572811,10677132811,,,,,
8. Vay và nợ thuê tài chính dài hạn338,47250759415,45950759415,27210257695,30700257695,27210257695,931280000,292501780000,291735960000,292084460000,291735960000,158700119477,152616873779,146533628081,152616873779,146533628081
9. Trái phiếu chuyển đổi339,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả341,,,,,,,,,,,,,,,
12. Dự phòng phải trả dài hạn342,,,,,,15619182741,13150620247,9046656615,9046656615,9046656615,,,,,
13. Quỹ phát triển khoa học và công nghệ343,,,,,,,,,,,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,,,,,,,,,,,
B. VỐN CHỦ SỞ HỮU400,314666524682,363624326152,360882280411,363333828159,360882280411,878311218156,888809235654,882680713224,882994118145,882680713224,177005901445,181118363279,179586277163,181118363279,179586277163
I. Vốn chủ sở hữu410,314666524682,363624326152,360882280411,363333828159,360882280411,878311218156,888809235654,882680713224,882994118145,882680713224,177005901445,181118363279,179586277163,181118363279,179586277163
1. Vốn góp của chủ sở hữu411,210965000000,210965000000,210965000000,210965000000,210965000000,714056890000,714056890000,714056890000,714056890000,714056890000,150000000000,150000000000,150000000000,150000000000,150000000000
- Cổ phiếu phổ thông có quyền biểu quyết411a,210965000000,210965000000,210965000000,210965000000,210965000000,714056890000,714056890000,714056890000,714056890000,714056890000,150000000000,150000000000,150000000000,150000000000,150000000000
- Cổ phiếu ưu đãi411b,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần412,,,,,,,,,,,,,,,
3. Quyền chọn chuyển đổi trái phiếu413,,,,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu414,,,,,,,,,,,,,,,
5. Cổ phiếu quỹ (*)415,-100000000,-100000000,-100000000,-100000000,-100000000,-30845085,-30845085,-30845085,-30845085,-30845085,,,,,
6. Chênh lệch đánh giá lại tài sản416,,,,,,,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái417,,,,,,,,,,,,,,,
8. Quỹ đầu tư phát triển418,,,,,,6631748703,6631748703,6631748703,6631748703,6631748703,5070781400,5070781400,5070781400,5070781400,5070781400
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,,,,,,,,,,,,,
11. Lợi nhuận sau thuế chưa phân phối421,103801524682,152759326152,150017280411,152468828159,150017280411,137595662445,147678989570,142661422234,142320094007,142661422234,21935120045,26047581879,24515495763,26047581879,24515495763
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,103450828627,101450828627,101450828627,101450828627,101450828627,142870915973,142870915973,139342795086,139342795082,139342795086,16500000000,16500000000,13500000000,16500000000,13500000000
- LNST chưa phân phối kỳ này421b,350696055,51308497525,48566451784,51017999532,48566451784,-5275253528,4808073597,3318627148,2977298925,3318627148,5435120045,9547581879,11015495763,9547581879,11015495763
12. Nguồn vốn đầu tư XDCB422,,,,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát429,,,,,,20057762093,20472452466,19361497372,20016230520,19361497372,,,,,
14. Quỹ dự phòng tài chính,,,,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác430,,,,,,,,,,,,,,,
1. Nguồn kinh phí431,,,,,,,,,,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,,,,,,,,,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN440,732222974623,682227391960,661114355559,683092208814,661114355559,3313492620004,3279500283751,3108510811286,3242609744665,3108510811286,404014616742,401479128927,389499786678,401479128927,389499786678
KẾT QUẢ KINH DOANHMS,,,,,,,,,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,112346158747,174513989295,114584295148,286860148042,401444443190,474372990940,507432600235,291815169095,979911720230,1271726889325,18904249261,18043426700,14027666620,36947675961,50975342581
2. Các khoản giảm trừ doanh thu02,2473753000,1747593774,2067094000,4221346774,6288440774,,27442551,325225262,27442551,352667813,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,109872405747,172766395521,112517201148,282638801268,395156002416,474372990940,507405157684,291489943833,979884277679,1271374221512,18904249261,18043426700,14027666620,36947675961,50975342581
4. Giá vốn hàng bán 11,89475838686,151356307408,96669556118,239675663750,336345219868,431181423325,460308091494,254375251234,882493971042,1136869222276,7373532030,7058174682,7547503250,14431706712,21979209962
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,20396567061,21410088113,15847645030,42963137518,58810782548,43191567615,47097066190,37114692599,97390306637,134504999236,11530717231,10985252018,6480163370,22515969249,28996132619
6. Doanh thu hoạt động tài chính21,15010173,52746225863,112844916,51569291336,51682136252,290422485,23739217881,230250625,24029682160,24259932785,429891,12241134,28440048,12671025,41111073
7. Chi phí tài chính 22,5050673769,7264228797,3441105946,10913455859,14354561805,23597576250,21816913358,19019129852,45427441016,64446570868,4579650298,4274462396,4249386267,8854112694,13103498961
Trong đó :Chi phí lãi vay23,5050673769,5974121494,3358784189,10710984492,14069768681,23573762662,21718631887,15345652802,45305345957,60650998759,4579650298,4274462396,4249386267,8854112694,13103498961
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,,,,,,-12508452755,,-13000163408,-13000163408,,,,,
9. Chi phí bán hàng25,6107318255,4595810674,5691031260,10712117353,16403148613,584924004,693659980,714973436,1278583984,1993557420,,,,,
10. Chi phí quản lý doanh nghiệp26,9195008287,11285857062,9288203959,22128359269,31416563228,21755287822,24338549545,15255364779,58163503635,73418868414,1546376779,1902626135,821303267,3449002914,4270306181
11. Lợi nhuận thuần từ hoạt động kinh doanh30,58576923,51010417443,-2459851219,50778496373,48318645154,-2455797976,11478708433,2355475157,3550296754,5905771911,5405120045,4820404621,1437913884,10225524666,11663438550
12. Thu nhập khác31,400600220,58399216,8303471,458999436,467302907,879502075,3996239545,1978538267,8448062254,10426600521,30000000,30000000,30000000,60000000,90000000
13. Chi phí khác32,108481088,,,108481088,108481088,373437697,1629010286,2456934042,1746666440,4203600482,,184021326,,184021326,184021326
14. Lợi nhuận khác40,292119132,58399216,8303471,350518348,358821819,506064378,2367229259,-478395775,6701395814,6223000039,30000000,-154021326,30000000,-124021326,-94021326
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,350696055,51068816659,-2451547748,51129014721,48677466973,-1949733598,13845937692,1877079382,10251692568,12128771950,5435120045,4666383295,1467913884,10101503340,11569417224
16. Chi phí thuế TNDN hiện hành51,,111015189,,111015189,111015189,3569488136,3225027335,2333886205,7293597991,9627484196,,553921461,,553921461,553921461
17. Chi phí thuế TNDN hoãn lại52,,,,,,,122893533,-143401901,266295434,122893533,,,,,
